Назва проекту,Дистанція
mcts_checkers,0.0
CPong,8.61
RwLock,12.5
SideShowBoBGOT.github.io,12.93
NBUCurrencyTracker,17.6
ConsoleChess,24.54
FunctionalProgrammingHaskell,24.6
FlaskProject,26.28
SystemProgrammingFourthSemester,35.79
software_security_seventh_semester,38.64
MultithreadedProgrammingSixthSemester,43.98
network_programming_eighth_semester,50.37
CppFuse,74.47
PetriObjModelPaint,78.62
